program	arch	opt	instrs	loads	stores	frameLoads	frameStores	offsetPrefixes	spillSlots	frameBytes	calleeSaved	moves
arith_stress	arm64	O0	68	1	3	1	3	0	7	64	10	11
arith_stress	arm64	O2	34	1	1	1	1	0	5	48	7	5
arith_stress	x64	O0	80	6	6	0	0	0	0	48	5	6
arith_stress	x64	O2	51	6	6	0	0	0	0	48	5	8
array_traverse	arm64	O0	136	4	10	3	9	12	19	8352	10	28
array_traverse	arm64	O2	71	2	2	1	1	2	16	8320	9	20
array_traverse	x64	O0	97	9	7	0	0	0	0	8240	5	8
array_traverse	x64	O2	77	7	7	0	0	0	0	8240	5	8
branch_stress	arm64	O0	173	11	21	11	21	0	31	256	10	31
branch_stress	arm64	O2	93	5	5	5	5	0	29	240	10	28
branch_stress	x64	O0	137	6	6	0	0	0	0	48	5	18
branch_stress	x64	O2	128	6	6	0	0	0	0	48	5	19
call_leaf	arm64	O0	102	13	23	13	23	0	18	160	2	7
call_leaf	arm64	O2	69	4	6	4	6	0	16	144	2	15
call_leaf	x64	O0	98	7	7	0	0	0	0	48	5	14
call_leaf	x64	O2	87	7	7	0	0	0	0	48	5	13
call_stress	arm64	O0	95	5	11	5	11	0	7	80	2	26
call_stress	arm64	O2	72	1	1	1	1	0	5	48	6	14
call_stress	x64	O0	139	8	10	0	2	0	0	48	4	46
call_stress	x64	O2	125	11	11	0	0	0	0	64	7	31
checked_arith	arm64	O0	74	1	3	1	3	0	7	64	10	11
checked_arith	arm64	O2	41	1	1	1	1	0	5	48	10	5
checked_arith	x64	O0	84	6	6	0	0	0	0	48	5	7
checked_arith	x64	O2	50	6	6	0	0	0	0	48	5	8
div_const	arm64	O0	128	1	3	1	3	0	7	64	10	11
div_const	arm64	O2	64	1	1	1	1	0	5	48	10	5
div_const	x64	O0	148	7	7	1	1	0	1	48	5	34
div_const	x64	O2	116	8	9	2	3	0	2	64	5	32
fib_stress	arm64	O0	38	2	3	2	3	0	3	32	2	10
fib_stress	arm64	O2	38	3	6	3	6	0	8	64	2	5
fib_stress	x64	O0	67	9	5	0	0	0	0	32	3	18
fib_stress	x64	O2	64	9	5	0	0	0	0	32	3	13
inline_stress	arm64	O0	90	6	10	6	10	0	8	80	5	25
inline_stress	arm64	O2	75	1	1	1	1	0	5	48	2	17
inline_stress	x64	O0	148	11	11	0	0	0	0	48	5	52
inline_stress	x64	O2	136	10	10	0	0	0	0	32	4	38
loop_sum	arm64	O0	62	3	7	3	7	0	15	128	8	21
loop_sum	arm64	O2	37	2	2	2	2	0	11	96	4	9
loop_sum	x64	O0	54	5	5	0	0	0	0	32	4	4
loop_sum	x64	O2	51	6	6	0	0	0	0	48	5	6
mixed_stress	arm64	O0	165	20	36	20	36	0	28	224	7	7
mixed_stress	arm64	O2	99	6	5	6	5	0	26	208	10	28
mixed_stress	x64	O0	140	7	7	0	0	0	0	48	5	22
mixed_stress	x64	O2	114	7	7	0	0	0	0	48	5	19
redundant_stress	arm64	O0	101	1	3	1	3	0	7	64	10	11
redundant_stress	arm64	O2	26	1	1	1	1	0	5	48	2	5
redundant_stress	x64	O0	120	6	6	0	0	0	0	48	5	12
redundant_stress	x64	O2	39	5	5	0	0	0	0	32	4	7
select_diamond	arm64	O0	114	12	21	12	21	0	31	256	10	29
select_diamond	arm64	O2	47	1	1	1	1	0	11	96	5	13
select_diamond	x64	O0	79	6	6	0	0	0	0	48	5	8
select_diamond	x64	O2	55	5	5	0	0	0	0	32	4	7
string_stress	arm64	O0	79	5	9	5	9	0	7	64	7	25
string_stress	arm64	O2	34	2	4	2	4	0	5	48	4	7
string_stress	x64	O0	101	6	6	0	0	0	0	48	5	44
string_stress	x64	O2	48	5	5	0	0	0	0	32	4	13
switch_dispatch	arm64	O0	249	31	35	31	35	6	45	368	10	56
switch_dispatch	arm64	O2	151	15	15	15	15	2	43	352	10	34
switch_dispatch	x64	O0	178	6	6	0	0	0	0	48	5	6
switch_dispatch	x64	O2	116	5	5	0	0	0	0	32	4	6
udiv_stress	arm64	O0	83	1	3	1	3	0	7	64	10	11
udiv_stress	arm64	O2	49	1	1	1	1	0	5	48	10	5
udiv_stress	x64	O0	90	6	6	0	0	0	0	48	5	12
udiv_stress	x64	O2	74	6	6	0	0	0	0	48	5	12
chess	arm64	O0	89607	10354	6444	7701	5377	2312	1575	35312	1962	20587
chess	arm64	O2	105089	13707	11456	11054	10340	12381	9977	89344	1944	18962
chess	x64	O0	107681	20117	12688	6135	6022	0	1997	52912	1614	28967
chess	x64	O2	88966	15737	10533	6050	6282	0	2344	41488	1515	22628
crackman	arm64	O0	57055	7307	3378	5609	2916	419	817	21376	1739	14938
crackman	arm64	O2	56684	7181	4851	5481	4389	3289	4450	42816	1712	13644
crackman	x64	O0	76782	14198	8222	3825	3706	0	1132	36784	1540	20648
crackman	x64	O2	62172	10100	6302	2997	3168	0	1100	28000	1476	16184
paint	arm64	O0	57350	7495	4437	5461	3115	124	741	22832	1926	14035
paint	arm64	O2	55230	7032	5054	4998	3732	1897	3898	39248	1960	12739
paint	x64	O0	78169	13838	8719	3190	3025	0	1017	39776	1812	21044
paint	x64	O2	64893	10423	7181	2724	2821	0	1170	31696	1737	16373
openworld_slice	arm64	O0	7060	681	381	395	300	0	151	2416	173	1842
openworld_slice	arm64	O2	6274	596	349	310	268	27	258	2912	179	1681
openworld_slice	x64	O0	8185	1353	641	218	236	0	87	2864	129	2062
openworld_slice	x64	O2	7344	1102	530	184	203	0	89	2496	126	1665
