program	arch	opt	instrs	loads	stores	frameLoads	frameStores	offsetPrefixes	spillSlots	frameBytes	calleeSaved	moves
arith_stress	arm64	O0	54	0	0	0	0	0	0	0	0	1
arith_stress	arm64	O2	27	0	0	0	0	0	0	0	0	2
arith_stress	x64	O0	68	1	1	0	0	0	0	0	0	5
arith_stress	x64	O2	38	1	1	0	0	0	0	0	0	7
array_traverse	arm64	O0	73	1	1	0	0	0	0	8192	0	1
array_traverse	arm64	O2	42	1	1	0	0	0	0	8192	0	0
array_traverse	x64	O0	85	3	2	0	0	0	0	8192	0	8
array_traverse	x64	O2	65	2	2	0	0	0	0	8192	0	7
branch_stress	arm64	O0	111	0	0	0	0	0	0	0	0	1
branch_stress	arm64	O2	48	0	0	0	0	0	0	0	0	1
branch_stress	x64	O0	131	1	1	0	0	0	0	0	0	23
branch_stress	x64	O2	121	1	1	0	0	0	0	0	0	25
call_leaf	arm64	O0	68	0	0	0	0	0	0	0	2	9
call_leaf	arm64	O2	48	0	0	0	0	0	0	0	2	6
call_leaf	x64	O0	92	4	4	0	0	0	0	16	2	15
call_leaf	x64	O2	79	4	4	0	0	0	0	16	2	12
call_stress	arm64	O0	71	0	2	0	2	0	0	16	2	16
call_stress	arm64	O2	55	0	0	0	0	0	0	0	0	5
call_stress	x64	O0	122	6	8	0	2	0	0	32	2	34
call_stress	x64	O2	95	4	4	0	0	0	0	0	0	18
checked_arith	arm64	O0	59	0	0	0	0	0	0	0	0	0
checked_arith	arm64	O2	35	0	0	0	0	0	0	0	0	0
checked_arith	x64	O0	72	1	1	0	0	0	0	0	0	6
checked_arith	x64	O2	39	1	1	0	0	0	0	0	0	8
div_const	arm64	O0	113	0	0	0	0	0	0	0	4	0
div_const	arm64	O2	47	0	0	0	0	0	0	0	0	0
div_const	x64	O0	140	5	5	0	0	0	0	32	4	30
div_const	x64	O2	107	5	5	0	0	0	0	32	4	30
fib_stress	arm64	O0	25	0	0	0	0	0	0	0	2	2
fib_stress	arm64	O2	25	0	0	0	0	0	0	0	2	2
fib_stress	x64	O0	61	7	4	0	0	0	0	16	2	15
fib_stress	x64	O2	60	7	4	0	0	0	0	16	2	12
inline_stress	arm64	O0	68	0	0	0	0	0	0	0	5	19
inline_stress	arm64	O2	57	0	0	0	0	0	0	0	0	2
inline_stress	x64	O0	134	11	11	0	0	0	0	48	5	38
inline_stress	x64	O2	110	6	6	0	0	0	0	0	0	21
loop_sum	arm64	O0	31	0	0	0	0	0	0	0	0	0
loop_sum	arm64	O2	24	0	0	0	0	0	0	0	0	0
loop_sum	x64	O0	44	1	1	0	0	0	0	0	0	3
loop_sum	x64	O2	40	1	1	0	0	0	0	0	0	6
mixed_stress	arm64	O0	116	0	0	0	0	0	0	0	3	14
mixed_stress	arm64	O2	55	0	0	0	0	0	0	0	0	1
mixed_stress	x64	O0	141	5	5	0	0	0	0	32	3	27
mixed_stress	x64	O2	106	2	2	0	0	0	0	0	0	24
redundant_stress	arm64	O0	87	0	0	0	0	0	0	0	2	1
redundant_stress	arm64	O2	22	0	0	0	0	0	0	0	0	0
redundant_stress	x64	O0	105	2	2	0	0	0	0	16	1	5
redundant_stress	x64	O2	30	1	1	0	0	0	0	0	0	7
select_diamond	arm64	O0	53	0	0	0	0	0	0	0	0	1
select_diamond	arm64	O2	35	0	0	0	0	0	0	0	0	0
select_diamond	x64	O0	68	1	1	0	0	0	0	0	0	8
select_diamond	x64	O2	46	1	1	0	0	0	0	0	0	7
string_stress	arm64	O0	58	0	0	0	0	0	0	0	4	18
string_stress	arm64	O2	27	0	0	0	0	0	0	0	4	7
string_stress	x64	O0	91	5	5	0	0	0	0	32	4	36
string_stress	x64	O2	46	5	5	0	0	0	0	32	4	12
switch_dispatch	arm64	O0	116	0	0	0	0	0	0	0	0	1
switch_dispatch	arm64	O2	73	0	0	0	0	0	0	0	0	0
switch_dispatch	x64	O0	166	1	1	0	0	0	0	0	0	5
switch_dispatch	x64	O2	106	1	1	0	0	0	0	0	0	5
udiv_stress	arm64	O0	69	0	0	0	0	0	0	0	3	1
udiv_stress	arm64	O2	38	0	0	0	0	0	0	0	3	1
udiv_stress	x64	O0	85	4	4	0	0	0	0	32	3	11
udiv_stress	x64	O2	69	4	4	0	0	0	0	32	3	11
chess	arm64	O0	74321	9810	4536	7157	3469	1013	36	23296	992	10351
chess	arm64	O2	55537	6086	2629	3433	1513	64	200	11072	1256	11288
chess	x64	O0	97089	18541	8944	5907	2834	0	1228	42208	1058	23698
chess	x64	O2	75513	13442	6887	4912	3119	0	833	25488	1048	15288
crackman	arm64	O0	46988	7413	2410	5715	1948	104	0	14976	732	6363
crackman	arm64	O2	36567	3957	1119	2257	657	0	43	7696	995	7227
crackman	x64	O0	68593	12553	5423	3039	1424	0	637	28672	1023	16904
crackman	x64	O2	52572	8485	3974	2256	1348	0	413	18608	982	10655
paint	arm64	O0	49576	7446	3373	5412	2051	34	0	16848	919	7554
paint	arm64	O2	40293	4332	2024	2298	702	0	49	9104	1216	7757
paint	x64	O0	69594	12394	6509	2433	1346	0	648	32672	1281	16123
paint	x64	O2	55214	8880	4927	1849	1053	0	507	22784	1251	10532
openworld_slice	arm64	O0	5861	753	241	467	160	0	0	1232	60	711
openworld_slice	arm64	O2	4896	568	163	282	82	0	0	864	71	629
openworld_slice	x64	O0	7547	1308	489	204	112	0	45	2352	101	1621
openworld_slice	x64	O2	6416	1011	374	125	74	0	31	1840	100	980
